4.256263160789967E-003  0.000000000000000E+000
9.380919058106091E-005  3.801014329843905E-003
1.130236945370370E-004  4.158960170575102E-003
1.192548200648358E-004  4.191910372979940E-003
1.184677633488917E-004  4.206168050204463E-003
1.163691361913635E-004  4.212439176451263E-003
1.136241924471507E-004  4.235190502965497E-003
1.137431243342351E-004  4.253579842326580E-003
1.114775968159577E-004  4.269301472296967E-003
1.097464073740471E-004  4.275938093873320E-003
1.076556345370431E-004  4.273645812662571E-003
1.046880861384767E-004  4.271838619464789E-003
1.040526342680911E-004  4.265360523216266E-003
1.023270054364338E-004  4.251946530451509E-003
1.036934827887619E-004  4.259307809972463E-003
1.041549364010108E-004  4.271878779824510E-003
1.029754122573806E-004  4.278559454188209E-003
1.007810277952103E-004  4.256253123311997E-003
9.860129217284568E-005  4.280073342487090E-003
9.844059352108257E-005  4.322813888317049E-003
9.681563383169793E-005  4.342280382028224E-003
